GEOID,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
01001,1900,43.9,45.1,53.8,65.3,71.7,76.4,80.6,81.5,78.1,69.3,56.1,48.3,64.2
01001,1910,46.5,47.1,61.2,62.6,70,76.4,79.2,80.2,77.3,67.3,51.7,42.4,63.5
01001,1920,48.5,46.7,52.5,63.3,70.7,77.4,80.3,78.6,77.6,64.3,51.4,44.9,63
01003,1900,49.6,50.6,58.4,67.2,74.4,78.3,80.5,81.9,79.8,71.7,59.3,51.8,67
01003,1910,51,50.8,64.2,65.4,72.3,78.5,80.9,81.6,78.4,69.9,56.3,48.3,66.5
01003,1920,52.7,51.6,56.3,64.6,73.4,78.3,80.4,79.2,79.4,66.6,54.5,50.6,65.6
01005,1900,43.7,46,54,66.1,72.4,77.5,80.8,82,78.3,69.6,55.8,47.7,64.5
01005,1910,46.6,47.4,61,63,71.3,76.5,78.6,79.8,77.7,67.6,53.5,43.6,63.9
01005,1920,50.6,48,53.6,64.2,71.4,78.4,79.9,77.9,77.9,64.9,53.2,46.3,63.9
